PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ELLIS (SAMUEL),1213,BASEBALL JR/SOFTBALL,OUTDOOR,1181211.01272,1881042.36262,"{'latitude': '41.828825', 'longitude': '-87.610649', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,PLAYGROUND,OUTDOOR,1181180.8336499999,1881234.08828,"{'latitude': '41.829351', 'longitude': '-87.610754', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,TENNIS COURT,OUTDOOR,1181223.43921,1881505.6992899999,"{'latitude': '41.830096', 'longitude': '-87.610589', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,TENNIS COURT,OUTDOOR,1181267.8200300001,1881527.0020699999,"{'latitude': '41.830153', 'longitude': '-87.610425', 'needs_recoding': False}"
ELSTON (DANIEL),1097,PLAYGROUND PARK,OUTDOOR,1154867.1005200001,1922962.62818,"{'latitude': '41.944425', 'longitude': '-87.706179', 'needs_recoding': False}"
EMERALD,1098,BASKETBALL COURT,OUTDOOR,1172149.8202200001,1867672.48089,"{'latitude': '41.792341', 'longitude': '-87.644287', 'needs_recoding': False}"
EMMERSON (LOUIS),104,BASKETBALL COURT,OUTDOOR,1162693.55862,1941304.49734,"{'latitude': '41.994596', 'longitude': '-87.676896', 'needs_recoding': False}"
EMMERSON (LOUIS),104,PLAYGROUND,OUTDOOR,1162835.20893,1941297.53082,"{'latitude': '41.994573', 'longitude': '-87.676375', 'needs_recoding': False}"
EMMERSON (LOUIS),104,SPRAY FEATURE,OUTDOOR,1162913.0004400001,1941352.1012500001,"{'latitude': '41.994722', 'longitude': '-87.676087', 'needs_recoding': False}"
EMMERSON (LOUIS),104,TENNIS COURT,OUTDOOR,1163025.6239,1941313.78571,"{'latitude': '41.994614', 'longitude': '-87.675674', 'needs_recoding': False}"
